State,Name,Population,Median Age,Household Income,Per Capita Income,Region
27,Minnesota,5527358.0,37.9,68411.0,36245.0,Midwest
28,Mississippi,2988762.0,37.2,43567.0,23434.0,Southeast
29,Missouri,6090062.0,38.5,53560.0,29537.0,Midwest
30,Montana,1041732.0,39.8,52559.0,29765.0,West
31,Nebraska,1904760.0,36.4,59116.0,31101.0,Midwest
32,Nevada,2922849.0,37.9,57598.0,29961.0,West
33,New Hampshire,1343622.0,42.7,74057.0,38548.0,Northeast
34,New Jersey,8881845.0,39.8,79363.0,40895.0,Northeast
35,New Mexico,2092434.0,37.5,48059.0,26085.0,Southwest
36,New York,19618453.0,38.7,65323.0,37470.0,Northeast
37,North Carolina,10155624.0,38.6,52413.0,29456.0,Southeast
38,North Dakota,752201.0,35.1,63473.0,35373.0,Midwest
39,Ohio,11641879.0,39.3,54533.0,30304.0,Midwest
40,Oklahoma,3918137.0,36.4,51424.0,27432.0,Southwest
41,Oregon,4081943.0,39.2,59393.0,32045.0,West
42,Pennsylvania,12791181.0,40.7,59445.0,32889.0,Northeast
44,Rhode Island,1056611.0,39.9,63296.0,34619.0,Northeast
45,South Carolina,4955925.0,39.2,51015.0,27986.0,Southeast
46,South Dakota,864289.0,36.8,56499.0,29801.0,Midwest
47,Tennessee,6651089.0,38.7,50972.0,28511.0,Southeast
48,Texas,27885195.0,34.4,59570.0,30143.0,Southwest
49,Utah,3045350.0,30.7,68374.0,28239.0,West
50,Vermont,624977.0,42.9,60076.0,33238.0,Northeast
51,Virginia,8413774.0,38.1,71564.0,37763.0,Unknown
54,West Virginia,1829054.0,42.4,44921.0,25479.0,Southeast
53,Washington,7294336.0,37.6,70116.0,36888.0,West
55,Wisconsin,5778394.0,39.3,59209.0,32018.0,Midwest
56,Wyoming,581836.0,37.3,62268.0,32295.0,West
72,Puerto Rico,3386941.0,40.9,20166.0,12451.0,Unknown
01,Alabama,4864680.0,38.9,48486.0,26846.0,Southeast
02,Alaska,738516.0,34.0,76715.0,35874.0,West
04,Arizona,6946685.0,37.4,56213.0,29265.0,Southwest
05,Arkansas,2990671.0,37.9,45726.0,25635.0,Southeast
06,California,39148760.0,36.3,71228.0,35021.0,West
08,Colorado,5531141.0,36.6,68811.0,36415.0,West
09,Connecticut,3581504.0,40.8,76106.0,43056.0,Northeast
10,Delaware,949495.0,40.2,65627.0,33989.0,Northeast
11,District of Columbia,684498.0,33.9,82604.0,53321.0,Unknown
12,Florida,20598139.0,41.9,53267.0,30197.0,Southeast
13,Georgia,10297484.0,36.5,55679.0,29523.0,Southeast
16,Idaho,1687809.0,36.1,53089.0,26772.0,West
15,Hawaii,1422029.0,38.9,78084.0,34035.0,West
17,Illinois,12821497.0,37.9,63575.0,34463.0,Midwest
18,Indiana,6637426.0,37.6,54325.0,28461.0,Midwest
19,Iowa,3132499.0,38.1,58580.0,31085.0,Midwest
20,Kansas,2908776.0,36.5,57422.0,30757.0,Midwest
21,Kentucky,4440204.0,38.7,48392.0,26948.0,Unknown
22,Louisiana,4663616.0,36.6,47942.0,27027.0,Southeast
23,Maine,1332813.0,44.6,55425.0,31253.0,Northeast
24,Maryland,6003435.0,38.6,81868.0,40517.0,Northeast
25,Massachusetts,6830193.0,39.4,77378.0,41794.0,Northeast
26,Michigan,9957488.0,39.7,54938.0,30336.0,Midwest
