Name,id,Alcohol By Volume,International Bitterness Units,Standard Reference Method,Style,Category,Brewer,City,State,Coordinates,Region
Possession Porter,723,5.599999905,0.0,0.0,Porter,Irish Ale,Diamond Knot Brewery & Alehouse,Mukilteo,Washington,"47.9485, -122.305",West
Free Bike Amber,742,4.5,0.0,0.0,American-Style Amber/Red Ale,North American Ale,Skagit River Brewing,Mount Vernon,Washington,"48.4192, -122.335",West
Potrero ESB,3982,5.1999998089999995,0.0,0.0,Special Bitter or Best Bitter,British Ale,21st Amendment Brewery Cafe,San Francisco,California,"37.7825, -122.393",West
Twisted Kilt Scotch Ale,4221,5.0,0.0,0.0,Scotch Ale,British Ale,Thirsty Dog Brewing,Akron,Ohio,"41.0689, -81.5172",Midwest
HarvestÃ¶r Fresh Hop Ale,5243,7.1999998089999995,0.0,0.0,American-Style Pale Ale,North American Ale,Lift Bridge Brewery,Stillwater,Minnesota,"45.0565, -92.8222",Midwest
Big Hoppy Monster,1148,8.75,0.0,0.0,American-Style Amber/Red Ale,North American Ale,Terrapin Beer Company,Athens,Georgia,"33.9459, -83.4105",Southeast
Brigantine Smoked Porter,5380,8.539999962000001,0.0,0.0,Porter,Irish Ale,South County Brewing Co.,Fawn Grove,Pennsylvania,"39.7323, -76.4496",Northeast
Saison De Lente,5474,6.5,0.0,0.0,French & Belgian-Style Saison,Belgian and French Ale,The Bruery,Placentia,California,"33.8614, -117.88",West
Drake's Crude,4792,6.8000001910000005,0.0,0.0,Oatmeal Stout,British Ale,Erie Brewing Company,Erie,Pennsylvania,"42.1112, -80.113",Northeast
Aprihop,4665,7.0,0.0,0.0,Fruit Beer,Other Style,Dogfish Head Craft Brewery,Milton,Delaware,"38.7683, -75.3107",Northeast
Old Chub,4743,8.0,0.0,0.0,Scotch Ale,British Ale,Oskar Blues Grill and Brew,Lyons,Colorado,"40.2246, -105.268",West
Smooth Hoperator,5223,7.0,0.0,0.0,German-Style Doppelbock,German Lager,Stoudt's Brewery,Adamstown,Pennsylvania,"40.2369, -76.072",Northeast
Saint Arnold Amber Ale,5321,5.5,0.0,0.0,American-Style Amber/Red Ale,North American Ale,Saint Arnold Brewing,Houston,Texas,"29.8123, -95.4675",Southwest
IPA,784,5.5,0.0,0.0,American-Style India Pale Ale,North American Ale,Elliott Bay Brewery and Pub,Seattle,Washington,"47.5604, -122.387",West
Ãber Sun Imperial Summer Wheat Ale,5447,8.0,0.0,0.0,Light American Wheat Ale or Lager,Other Style,Southern Tier Brewing Co,Lakewood,New York,"42.1008, -79.3357",Northeast
India Style Brown Ale,5592,6.0,0.0,0.0,American-Style Brown Ale,North American Ale,Terrapin Beer Company,Athens,Georgia,"33.9459, -83.4105",Southeast
Pine Belt Pale Ale,5826,6.3000001910000005,0.0,0.0,American-Style Pale Ale,North American Ale,Southern Star Brewing Company,Conroe,Texas,"30.3489, -95.4427",Southwest
Export Ale,196,5.099999905,0.0,0.0,American-Style Pale Ale,North American Ale,Shipyard Brewing - Portland,Portland,Maine,"43.6619, -70.2489",Northeast
Scotch Ale,4104,7.0,0.0,0.0,Scotch Ale,British Ale,Brauhaus Brew Hall,Lucan,Minnesota,"44.4105, -95.4107",Midwest
Edgar I.P.A.,4119,8.0,0.0,0.0,American-Style India Pale Ale,North American Ale,Bullfrog Brewery,Williamsport,Pennsylvania,"41.2404, -77.0057",Northeast
Odd Notion Spring 08,4156,4.599999905,0.0,0.0,Irish-Style Red Ale,Irish Ale,Magic Hat,South Burlington,Vermont,"44.4284, -73.2131",Northeast
Heather Ale,4551,5.400000095,0.0,0.0,Herb and Spice Beer,Other Style,Amherst Brewing Company,Amherst,Massachusetts,"42.3763, -72.5199",Northeast
Creme Brulee Java Stout,5611,5.8000001910000005,0.0,0.0,American-Style Stout,North American Ale,Kuhnhenn Brewing,Warren,Michigan,"42.5278, -83.0472",Midwest
ESB Ale,3958,5.5,0.0,0.0,Special Bitter or Best Bitter,British Ale,Flying Fish Brewing Company,Cherry Hill,New Jersey,"39.9121, -74.9701",Northeast
Broken Spoke,4689,5.0,0.0,0.0,American-Style Pale Ale,North American Ale,The Alchemist,Waterbury,Vermont,"44.3372, -72.756",Northeast
Saranac Winter Wassail,3463,5.8000001910000005,0.0,0.0,Winter Warmer,Other Style,F.X. Matt Brewing,Utica,New York,"43.1045, -75.2452",Northeast
Wynona's Big Brown Ale,5335,7.3000001910000005,0.0,0.0,American-Style Brown Ale,North American Ale,"Voodoo Brewing Co.,LLC",Meadville,Pennsylvania,"41.6372, -80.1549",Northeast
Marshal Zhukov's Imperial Stout,5726,11.0,0.0,0.0,American-Style Imperial Stout,North American Ale,Cigar City Brewing,Tampa,Florida,"27.9587, -82.5093",Southeast
Scratch Beer 31 - 2010 Citra Of Brotherly Love IPA,5833,7.400000095,0.0,0.0,American-Style India Pale Ale,North American Ale,Troegs Brewing,Harrisburg,Pennsylvania,"40.2559, -76.8715",Northeast
Hope & King Scotch Ale,1174,6.0,0.0,0.0,Scotch Ale,British Ale,Minneapolis Town Hall Brewery,Minneapolis,Minnesota,"44.9732, -93.2479",Midwest
Kilt Kicker Wee Heavy,2057,7.0,0.0,0.0,Scotch Ale,British Ale,Flossmoor Station Brewery,Flossmoor,Illinois,"41.5433, -87.6789",Midwest
Zone 7 Porter,299,3.799999952,0.0,0.0,Porter,Irish Ale,Pleasanton Main Street Brewery,Pleasanton,California,"37.6645, -121.873",West
Cow Palace Scotch Ale 2001,2223,11.10000038,0.0,0.0,Scotch Ale,British Ale,Egan Brewing,De Pere,Wisconsin,"44.4489, -88.0604",Midwest
South Park Blonde,3978,5.0,0.0,0.0,Golden or Blonde Ale,North American Ale,21st Amendment Brewery Cafe,San Francisco,California,"37.7825, -122.393",West
Santas Private Reserve,4192,6.0,0.0,0.0,American-Style Amber/Red Ale,North American Ale,Rogue Ales,Newport,Oregon,"44.6202, -124.052",West
Michelob Ultra Amber,4386,5.0,0.0,0.0,American-Style Lager,North American Lager,Anheuser-Busch,Saint Louis,Missouri,"38.5983, -90.209",Midwest
Twilight Ale,4711,5.0,0.0,0.0,American-Style Pale Ale,North American Ale,Deschutes Brewery,Bend,Oregon,"44.0474, -121.323",West
Brown Aged Girl,4773,4.5,0.0,0.0,German-Style Brown Ale/Altbier,German Ale,Legacy Brewing Co.,Reading,Pennsylvania,"40.3256, -75.9283",Northeast
Vienna Red Lager,4829,5.0,0.0,0.0,American-Style Lager,North American Lager,Iron Hill Brewery - Wilmingon,Wilmington,Delaware,"39.745, -75.5561",Northeast
Sea Dog Blue Paw Wheat,5076,3.5,0.0,0.0,Fruit Beer,Other Style,Sea Dog Brewing Company,Bangor,Maine,"44.7974, -68.77",Northeast
Liberty Ale,5173,6.0,0.0,0.0,American-Style Pale Ale,North American Ale,Anchor Brewing,San Francisco,California,"37.7635, -122.401",West
Pillar Point Pale Ale,263,4.599999905,0.0,0.0,American-Style Pale Ale,North American Ale,Half Moon Bay Brewing,Princeton by the Sea,California,"37.4903, -122.435",West
Sacramento Nut Brown Ale,5255,5.400000095,0.0,0.0,American-Style Brown Ale,North American Ale,Sacramento Brewing Company,Sacramento,California,"38.6191, -121.4",West
Bam BiÃ¨re,395,4.5,0.0,0.0,French & Belgian-Style Saison,Belgian and French Ale,Jolly Pumpkin Artisan Ales,Dexter,Michigan,"42.3375, -83.8895",Midwest
Black Magick,5331,15.0,0.0,0.0,American-Style Imperial Stout,North American Ale,"Voodoo Brewing Co.,LLC",Meadville,Pennsylvania,"41.6372, -80.1549",Northeast
Santa Fe Wheat,5531,5.25,0.0,0.0,Light American Wheat Ale or Lager,Other Style,Santa Fe Brewing Company,Santa Fe,New Mexico,"35.5966, -106.052",Southwest
Smuttynose Pumpkin Ale,5655,5.099999905,0.0,0.0,Pumpkin Beer,Other Style,Smuttynose Brewing Co.,Portsmouth,New Hampshire,"43.0325, -70.7948",Northeast
Alembic Pale,785,5.5,0.0,0.0,American-Style Pale Ale,North American Ale,Elliott Bay Brewery and Pub,Seattle,Washington,"47.5604, -122.387",West
Silk Porter,5788,6.1999998089999995,0.0,0.0,Porter,Irish Ale,Hoppin Frog Brewery,Akron,Ohio,"41.0247, -81.4676",Midwest
